,MAE,RMSE,MAPE
RandomForest,1.437308349567096,1.437308349567096,30.322960961331134
GradientBoosting,0.8580167974188777,0.8580167974188777,18.1016201987105
XGBoost,1.768993625640869,1.768993625640869,37.320540625334786
LGBM,0.08201181439225191,0.08201181439225191,1.7302070546888588
SARIMA,3.9313008805372025,3.9313008805372025,82.93883714213507
SARIMAX,1.5103058509646328,1.5103058509646328,31.862992636384657
SeasonalNaive,15.089999999999998,15.089999999999998,318.3544303797468
